transactionId,accountNumber,accountHolderName,transactionDate,transactionType,amount,transactionStatus
77,990358421,User355,2024-12-11,TRANSFER,4666.69,COMPLETED
78,960120301,User476,2024-07-10,DEPOSIT,1473.85,PENDING
79,404889101,User363,2024-07-12,TRANSFER,1200.06,FAILED
80,326205090,User302,2024-11-20,DEPOSIT,2418.36,COMPLETED
81,859147476,User179,2024-11-06,TRANSFER,4959.96,PENDING
82,897670112,User421,2024-06-03,DEPOSIT,3028.65,PENDING
83,998592879,User43,2024-05-27,TRANSFER,2042.46,FAILED
84,112866293,User253,2024-03-12,DEPOSIT,962.74,PENDING
85,149705615,User173,2024-03-12,DEPOSIT,4113.85,COMPLETED
86,925159117,User446,2024-12-07,WITHDRAWAL,4371.41,COMPLETED
87,620221042,User274,2024-01-04,WITHDRAWAL,1838.82,FAILED
88,316537275,User370,2024-11-09,TRANSFER,279.06,PENDING
89,752301798,User469,2024-03-23,WITHDRAWAL,4296.43,COMPLETED
90,536205923,User135,2024-09-14,TRANSFER,3803.92,COMPLETED
91,855486937,User25,2024-01-11,WITHDRAWAL,2792.07,COMPLETED
92,637082269,User121,2024-07-15,TRANSFER,2950.84,PENDING
93,719315117,User356,2024-03-13,DEPOSIT,2266.67,COMPLETED
94,138588379,User310,2024-07-09,TRANSFER,1002.86,COMPLETED
95,519041062,User296,2024-10-20,TRANSFER,4594.82,FAILED
96,778607160,User466,2024-04-13,DEPOSIT,2620.07,PENDING
97,722016830,User428,2024-11-21,TRANSFER,1314.99,FAILED
98,507912645,User111,2024-05-23,TRANSFER,1193.59,COMPLETED
99,479249659,User53,2024-05-23,WITHDRAWAL,4962.28,FAILED
100,216900576,User433,2024-09-28,TRANSFER,1917.69,COMPLETED
101,486916326,User386,2024-07-02,WITHDRAWAL,1788.03,COMPLETED
102,809000785,User289,2024-07-31,TRANSFER,678.92,COMPLETED
103,590697748,User285,2024-12-22,DEPOSIT,2877.02,PENDING
104,512111319,User399,2024-08-02,WITHDRAWAL,4621.4,PENDING
105,294949718,User175,2024-03-03,WITHDRAWAL,4824.85,FAILED
106,423641226,User283,2024-03-09,DEPOSIT,726.66,FAILED
107,216470718,User114,2024-07-29,DEPOSIT,755.55,FAILED
108,918629241,User238,2024-09-27,WITHDRAWAL,2736.39,COMPLETED
109,525159826,User156,2024-11-25,DEPOSIT,4445.93,PENDING
110,579304034,User323,2024-01-26,WITHDRAWAL,1072.59,FAILED
111,345633526,User288,2024-07-05,TRANSFER,755.93,COMPLETED
112,846641765,User6,2024-03-20,TRANSFER,2557.99,PENDING
113,692593099,User164,2024-09-14,DEPOSIT,2485.39,PENDING
114,156857165,User344,2024-05-15,WITHDRAWAL,2529.8,COMPLETED
115,770800505,User53,2024-10-06,TRANSFER,3555.01,COMPLETED
116,353367522,User37,2024-10-06,DEPOSIT,2989.71,COMPLETED
117,557947053,User417,2024-08-09,TRANSFER,2034.1,COMPLETED
118,863400438,User176,2024-11-29,TRANSFER,3260.83,COMPLETED
119,163938989,User452,2024-08-11,WITHDRAWAL,1142.73,PENDING
120,406536420,User88,2024-02-04,TRANSFER,353.04,PENDING
121,381448911,User438,2024-10-25,DEPOSIT,904.62,COMPLETED
122,131810013,User291,2024-12-24,WITHDRAWAL,4441.75,PENDING
123,148653918,User394,2024-11-22,WITHDRAWAL,4559.96,PENDING
124,988387127,User337,2024-09-02,DEPOSIT,2537.48,PENDING
125,565298567,User470,2024-08-21,WITHDRAWAL,528.24,PENDING
126,935263656,User89,2024-06-02,DEPOSIT,1434.74,PENDING
127,798552061,User328,2024-07-28,DEPOSIT,4358.96,COMPLETED
128,388180856,User451,2024-06-27,TRANSFER,4400.33,FAILED
129,919568291,User388,2024-07-05,TRANSFER,1021.34,FAILED
130,207501396,User329,2024-09-23,TRANSFER,2621.7,FAILED
131,539337476,User351,2024-11-09,DEPOSIT,1979.17,FAILED
132,856585217,User310,2024-01-18,TRANSFER,3802.65,FAILED
133,678996661,User163,2024-08-07,TRANSFER,3962.75,COMPLETED
134,114188448,User66,2024-05-05,WITHDRAWAL,2969.91,COMPLETED
135,365403421,User183,2024-01-14,WITHDRAWAL,1517.54,FAILED
136,613606795,User186,2024-04-20,TRANSFER,1834.99,PENDING
137,963942154,User106,2024-05-18,TRANSFER,4955.5,COMPLETED
138,359790092,User485,2024-12-13,TRANSFER,2749.38,FAILED
139,433306707,User51,2024-02-03,TRANSFER,1271.95,FAILED
140,702991220,User499,2024-03-31,TRANSFER,1529.56,PENDING
141,169049839,User70,2024-03-25,WITHDRAWAL,1094.01,FAILED
142,232433192,User172,2024-07-23,DEPOSIT,670.8,PENDING
143,715471566,User40,2024-12-24,WITHDRAWAL,1817.46,PENDING
144,898818810,User268,2024-07-26,TRANSFER,2442.62,PENDING
145,742577773,User443,2024-03-12,DEPOSIT,3663.21,PENDING
146,752020227,User443,2024-03-31,TRANSFER,1107.28,COMPLETED
147,987485370,User278,2024-09-21,WITHDRAWAL,3546.91,PENDING
148,580370913,User196,2024-01-31,DEPOSIT,2346.1,PENDING
149,735857532,User336,2024-08-13,TRANSFER,2839.47,FAILED
150,957400779,User175,2024-05-18,TRANSFER,1914.12,FAILED
151,589794107,User322,2024-09-20,TRANSFER,3262.47,COMPLETED
152,908569029,User61,2024-04-18,TRANSFER,2120.36,FAILED
153,812990500,User180,2024-05-19,WITHDRAWAL,346.28,COMPLETED
154,193265975,User387,2024-12-13,TRANSFER,2613.73,COMPLETED
155,240794502,User354,2024-07-07,DEPOSIT,2007.07,COMPLETED
156,155943769,User310,2024-11-08,DEPOSIT,4136.53,PENDING
157,292261895,User26,2024-12-15,TRANSFER,1504.51,COMPLETED
158,401936778,User431,2024-10-13,DEPOSIT,488.49,FAILED
159,677007331,User117,2024-01-08,TRANSFER,4094.99,COMPLETED
160,867190896,User354,2024-12-31,DEPOSIT,1148.38,FAILED
161,214967116,User194,2024-06-20,TRANSFER,653.62,COMPLETED
162,819177705,User260,2024-09-11,DEPOSIT,2155.07,PENDING
163,629348973,User5,2024-12-05,TRANSFER,1433.28,PENDING
164,639029243,User420,2024-11-23,DEPOSIT,4131.38,COMPLETED
165,489831325,User352,2024-12-31,DEPOSIT,4792.9,COMPLETED
166,419161878,User426,2024-10-05,DEPOSIT,2285.56,FAILED
167,736071536,User43,2024-10-03,DEPOSIT,565.9,FAILED
168,437995892,User285,2024-11-24,WITHDRAWAL,1191.13,PENDING
169,426510958,User152,2024-06-07,WITHDRAWAL,197.17,PENDING
170,355604600,User187,2024-12-03,WITHDRAWAL,3042.12,COMPLETED
171,749403976,User160,2024-04-05,WITHDRAWAL,3532.54,COMPLETED
172,343445931,User68,2024-12-24,TRANSFER,2070.62,COMPLETED
173,747649836,User380,2024-06-13,DEPOSIT,4006.91,PENDING
174,833546970,User446,2024-04-04,TRANSFER,1240.54,PENDING
175,680813823,User181,2024-12-28,WITHDRAWAL,464.65,FAILED
176,300170208,User299,2024-08-30,WITHDRAWAL,2203.25,FAILED
177,365955871,User40,2024-01-26,WITHDRAWAL,2135.74,FAILED
178,547068256,User146,2024-03-25,DEPOSIT,4914.29,PENDING
179,202068669,User245,2024-07-05,DEPOSIT,4303.82,COMPLETED
180,757621439,User198,2024-11-14,TRANSFER,1343.16,FAILED
181,261309865,User469,2024-11-21,TRANSFER,4097.5,PENDING
182,648035440,User60,2024-09-02,TRANSFER,4416.33,COMPLETED
183,925876549,User92,2024-01-12,TRANSFER,3230.38,FAILED
184,948779937,User439,2024-07-08,DEPOSIT,2911.47,COMPLETED
185,909098675,User117,2024-10-07,WITHDRAWAL,976.97,FAILED
186,327155026,User313,2024-11-19,DEPOSIT,2886.6,PENDING
187,308436265,User215,2024-05-15,TRANSFER,2806.83,PENDING
188,769023890,User87,2024-01-07,TRANSFER,155.13,COMPLETED
189,979798100,User147,2024-12-30,WITHDRAWAL,1442.81,COMPLETED
190,681933017,User173,2024-07-29,WITHDRAWAL,4946.17,COMPLETED
191,949376018,User17,2024-09-22,WITHDRAWAL,4841.49,COMPLETED
192,973743272,User71,2024-05-30,TRANSFER,563.08,COMPLETED
193,703484770,User302,2024-09-10,TRANSFER,366.07,FAILED
194,953621788,User226,2024-09-16,TRANSFER,3974.67,COMPLETED
195,192019221,User192,2024-06-17,TRANSFER,4996.62,COMPLETED
196,309682568,User415,2024-05-24,WITHDRAWAL,3721.86,COMPLETED
197,781284805,User401,2024-12-10,WITHDRAWAL,782.17,PENDING
198,747722973,User139,2024-09-11,WITHDRAWAL,452.02,COMPLETED
199,290095397,User496,2024-06-17,WITHDRAWAL,2609.18,FAILED
200,172488403,User3,2024-08-09,DEPOSIT,2020.9,COMPLETED
201,854599163,User82,2024-05-30,DEPOSIT,4903.61,COMPLETED
202,200153593,User126,2024-11-27,TRANSFER,1616.15,FAILED
203,264760957,User113,2024-07-24,DEPOSIT,2509.93,FAILED
204,468871404,User292,2024-06-01,DEPOSIT,2684.63,PENDING
205,852057782,User149,2024-04-05,WITHDRAWAL,4006.96,PENDING
206,726702919,User133,2024-06-12,DEPOSIT,1700.6,PENDING
207,338575014,User62,2024-01-29,WITHDRAWAL,1629.85,FAILED
208,652581696,User423,2024-07-20,WITHDRAWAL,2004.68,PENDING
209,157727667,User231,2024-11-28,WITHDRAWAL,3741.38,COMPLETED
210,116838433,User136,2024-12-08,DEPOSIT,23.33,FAILED
211,757466185,User412,2024-01-14,DEPOSIT,674.1,FAILED
212,217769162,User59,2024-09-06,WITHDRAWAL,3459.57,COMPLETED
213,623307806,User457,2024-06-05,WITHDRAWAL,373.21,PENDING
214,139307963,User423,2024-03-31,WITHDRAWAL,3418.14,FAILED
215,984321452,User494,2024-07-08,WITHDRAWAL,4624.86,COMPLETED
216,197107587,User368,2024-03-12,DEPOSIT,2329.99,PENDING
217,374715655,User456,2024-11-03,TRANSFER,121.72,FAILED
218,635442512,User331,2024-08-27,TRANSFER,4816.65,COMPLETED
219,873504512,User294,2024-01-13,DEPOSIT,1003.57,COMPLETED
220,855853507,User86,2024-10-08,WITHDRAWAL,2049.21,FAILED
221,952110972,User291,2024-02-05,TRANSFER,2425.25,COMPLETED
222,923828144,User479,2024-07-19,WITHDRAWAL,3982.65,FAILED
223,777899866,User256,2024-04-23,WITHDRAWAL,590.1,COMPLETED
224,444396213,User413,2024-04-30,TRANSFER,1564.05,COMPLETED
225,866106877,User260,2024-03-08,TRANSFER,1757.91,PENDING
226,473563640,User265,2024-01-23,TRANSFER,4479.33,COMPLETED
227,162940123,User213,2024-11-19,TRANSFER,2162.47,FAILED
228,627456736,User359,2024-10-20,DEPOSIT,4747.87,FAILED
229,535222734,User399,2024-12-27,DEPOSIT,1954.03,COMPLETED
230,279103547,User457,2024-12-21,TRANSFER,3326.25,FAILED
231,798461081,User494,2024-06-10,WITHDRAWAL,2925.82,FAILED
232,602329742,User369,2024-10-23,TRANSFER,1256.53,FAILED
233,946498797,User431,2024-09-27,DEPOSIT,2933.14,COMPLETED
234,898052169,User91,2024-05-17,DEPOSIT,738.96,FAILED
235,355565256,User428,2024-03-05,TRANSFER,4246.7,PENDING
236,210346333,User148,2024-07-26,DEPOSIT,3626.15,FAILED
237,231971860,User449,2024-03-11,DEPOSIT,1506.13,COMPLETED
238,743242900,User264,2024-11-24,DEPOSIT,3977.1,COMPLETED
239,470978670,User55,2024-03-18,WITHDRAWAL,3573.35,PENDING
240,187689367,User482,2024-12-01,WITHDRAWAL,1197.76,COMPLETED
241,131032717,User403,2024-12-11,WITHDRAWAL,3593.4,FAILED
242,860906103,User127,2024-03-06,WITHDRAWAL,3624.64,PENDING
243,878904427,User412,2024-08-28,WITHDRAWAL,2676.43,FAILED
244,740663522,User5,2024-05-01,TRANSFER,3988.76,COMPLETED
245,736301762,User332,2024-07-20,WITHDRAWAL,215.98,COMPLETED
246,226727475,User498,2024-09-20,WITHDRAWAL,4891.04,PENDING
247,922153608,User3,2024-05-18,DEPOSIT,4769.97,COMPLETED
248,695624229,User331,2024-01-24,DEPOSIT,1132.48,COMPLETED
249,384989746,User198,2024-02-08,TRANSFER,4987.14,COMPLETED
250,596779110,User364,2024-01-12,DEPOSIT,3152.32,COMPLETED
251,344215825,User408,2024-11-19,TRANSFER,420.07,FAILED
252,363995816,User438,2024-10-13,TRANSFER,231.78,FAILED
253,179383003,User29,2024-01-30,WITHDRAWAL,1484.77,FAILED
254,486035664,User176,2024-09-27,WITHDRAWAL,3738.22,FAILED
255,263989063,User210,2024-12-20,TRANSFER,3334.85,FAILED
256,525843097,User380,2024-09-02,DEPOSIT,1626.44,COMPLETED
257,513734750,User245,2024-04-15,DEPOSIT,1071.13,PENDING
258,212226910,User191,2024-12-04,DEPOSIT,4431.35,FAILED
259,281854226,User222,2024-09-06,WITHDRAWAL,1163.93,FAILED
260,355960533,User191,2024-02-01,WITHDRAWAL,4008.27,FAILED
261,451470219,User291,2024-09-30,TRANSFER,1159.39,FAILED
262,836542866,User280,2024-03-18,TRANSFER,3110.56,FAILED
263,775039884,User436,2024-10-27,TRANSFER,1644.04,COMPLETED
264,453179502,User180,2024-02-19,DEPOSIT,2865.11,COMPLETED
265,621764554,User194,2024-11-02,WITHDRAWAL,4223.55,COMPLETED
266,127351829,User362,2024-07-11,DEPOSIT,3099.05,COMPLETED
267,990575422,User313,2024-02-26,WITHDRAWAL,4817.99,COMPLETED
268,827375487,User7,2024-02-11,DEPOSIT,1376.02,COMPLETED
269,722126199,User363,2024-01-28,DEPOSIT,4609.39,FAILED
270,269721207,User493,2024-09-12,WITHDRAWAL,60.78,COMPLETED
271,351824482,User101,2024-06-24,WITHDRAWAL,3897.0,COMPLETED
272,894689473,User187,2024-05-26,WITHDRAWAL,1837.7,PENDING
273,669855735,User47,2024-03-30,TRANSFER,1683.48,FAILED
274,612103924,User48,2024-03-31,DEPOSIT,1950.23,PENDING
275,110863734,User437,2024-04-06,DEPOSIT,2218.72,FAILED
276,540313183,User27,2024-07-20,WITHDRAWAL,377.67,PENDING
277,560416806,User35,2024-04-14,DEPOSIT,1636.98,COMPLETED
278,135413445,User88,2024-05-10,WITHDRAWAL,3801.29,FAILED
279,671899304,User122,2024-05-11,DEPOSIT,42.6,PENDING
280,816719053,User486,2024-12-21,DEPOSIT,119.38,FAILED
281,566621401,User76,2024-04-01,DEPOSIT,684.9,COMPLETED
282,706057873,User325,2024-05-30,DEPOSIT,4188.53,PENDING
283,655974201,User309,2024-11-17,DEPOSIT,1296.99,FAILED
284,171690864,User421,2024-10-23,WITHDRAWAL,2642.53,PENDING
285,601165852,User229,2024-02-12,DEPOSIT,2417.83,PENDING
286,173035773,User8,2024-07-08,WITHDRAWAL,717.07,COMPLETED
287,262933005,User139,2024-02-15,TRANSFER,4644.06,PENDING
288,618461113,User84,2024-12-25,TRANSFER,1552.49,COMPLETED
289,224642828,User347,2024-09-15,DEPOSIT,2878.52,PENDING
290,758085058,User394,2024-01-01,WITHDRAWAL,3447.89,COMPLETED
291,253122387,User93,2024-11-13,DEPOSIT,2954.38,COMPLETED
292,428052320,User490,2024-10-06,TRANSFER,2407.33,FAILED
293,693279453,User383,2024-01-18,DEPOSIT,4758.16,PENDING
294,371318720,User35,2024-09-16,DEPOSIT,1482.29,COMPLETED
295,266173303,User192,2024-06-24,DEPOSIT,2622.36,PENDING
296,357491862,User30,2024-04-10,WITHDRAWAL,3966.68,FAILED
297,321601208,User137,2024-03-15,WITHDRAWAL,2876.25,COMPLETED
298,566474222,User357,2024-01-03,TRANSFER,2878.58,COMPLETED
299,224142469,User326,2024-10-22,WITHDRAWAL,29.79,FAILED
300,557573835,User447,2024-02-12,DEPOSIT,4009.69,FAILED
301,781774432,User278,2024-03-29,TRANSFER,3153.74,PENDING
302,163678581,User308,2024-06-05,TRANSFER,1489.26,COMPLETED
303,845252052,User420,2024-11-24,DEPOSIT,2651.35,COMPLETED
304,678550260,User193,2024-04-20,TRANSFER,978.84,COMPLETED
305,666557442,User206,2024-01-18,TRANSFER,2939.27,PENDING
306,180337026,User383,2024-05-03,DEPOSIT,3486.78,PENDING
307,435944291,User357,2024-03-03,WITHDRAWAL,856.54,COMPLETED
308,241586646,User423,2024-11-16,TRANSFER,1056.66,PENDING
309,859914226,User360,2024-08-26,WITHDRAWAL,1970.48,FAILED
310,665041381,User39,2024-10-25,WITHDRAWAL,288.01,COMPLETED
311,696161542,User305,2024-05-01,TRANSFER,918.11,FAILED
312,483048100,User68,2024-03-15,DEPOSIT,730.89,FAILED
313,362901406,User222,2024-11-04,DEPOSIT,1703.67,PENDING
314,796439317,User61,2024-03-16,DEPOSIT,1689.9,FAILED
315,312347025,User381,2024-03-21,TRANSFER,1462.05,COMPLETED
316,467531091,User222,2024-11-25,WITHDRAWAL,2104.98,COMPLETED
317,468904586,User144,2024-05-14,TRANSFER,441.68,COMPLETED
318,588647890,User119,2024-10-30,DEPOSIT,2898.95,PENDING
319,189914875,User331,2024-02-09,WITHDRAWAL,4745.47,COMPLETED
320,612994244,User417,2024-09-25,DEPOSIT,816.61,FAILED
321,907068958,User368,2024-09-08,TRANSFER,1166.56,PENDING
322,235941206,User478,2024-09-11,DEPOSIT,3409.79,FAILED
323,417014490,User377,2024-08-24,DEPOSIT,1165.2,FAILED
324,829831059,User282,2024-10-31,DEPOSIT,2230.68,PENDING
325,342221798,User467,2024-01-04,TRANSFER,2743.88,COMPLETED
326,426527577,User292,2024-03-07,TRANSFER,3210.61,COMPLETED
327,139581351,User248,2024-04-29,TRANSFER,3774.24,FAILED
328,504373064,User261,2024-11-22,TRANSFER,3191.12,FAILED
329,117955659,User310,2024-10-18,DEPOSIT,1898.45,COMPLETED
330,653178773,User79,2024-11-03,WITHDRAWAL,2041.87,PENDING
331,780841610,User348,2024-06-11,TRANSFER,112.84,PENDING
332,121222929,User373,2024-05-04,TRANSFER,3950.16,COMPLETED
333,963636108,User355,2024-08-27,WITHDRAWAL,4581.23,PENDING
334,110891743,User375,2024-08-14,WITHDRAWAL,3308.89,COMPLETED
335,602168234,User102,2024-05-15,WITHDRAWAL,2917.1,COMPLETED
336,800305447,User299,2024-07-15,WITHDRAWAL,2485.64,FAILED
337,354231873,User285,2024-01-16,WITHDRAWAL,263.33,PENDING
338,630261432,User87,2024-02-19,TRANSFER,4842.54,PENDING
339,209644186,User20,2024-10-15,WITHDRAWAL,2078.37,PENDING
340,913250887,User416,2024-11-17,DEPOSIT,4272.71,FAILED
341,109237625,User446,2024-05-09,WITHDRAWAL,3547.46,PENDING
342,711405913,User284,2024-11-18,WITHDRAWAL,942.16,PENDING
343,137945659,User142,2024-04-14,WITHDRAWAL,758.76,FAILED
344,985849241,User448,2024-06-10,TRANSFER,1037.74,PENDING
345,760828853,User417,2024-09-15,DEPOSIT,3700.67,PENDING
346,698699306,User226,2024-02-16,DEPOSIT,1834.88,COMPLETED
347,953471051,User347,2024-02-17,TRANSFER,3063.76,PENDING
348,420394540,User10,2024-06-12,WITHDRAWAL,4368.05,COMPLETED
349,852374380,User171,2024-02-12,DEPOSIT,4926.68,PENDING
350,573331888,User242,2024-03-04,DEPOSIT,3431.62,COMPLETED
351,572825557,User221,2024-11-22,WITHDRAWAL,4184.18,COMPLETED
352,360005505,User221,2024-03-14,WITHDRAWAL,1216.12,PENDING
353,521940730,User468,2024-09-08,TRANSFER,1780.46,PENDING
354,229511046,User325,2024-03-16,DEPOSIT,2972.42,COMPLETED
355,261283963,User394,2024-04-30,TRANSFER,400.99,COMPLETED
356,676812412,User275,2024-10-26,WITHDRAWAL,2254.42,FAILED
357,132860768,User474,2024-03-03,WITHDRAWAL,3338.86,FAILED
358,924960029,User263,2024-09-14,WITHDRAWAL,1618.08,COMPLETED
359,631939110,User70,2024-05-09,WITHDRAWAL,3503.63,FAILED
360,232264723,User24,2024-09-07,DEPOSIT,1892.5,PENDING
361,362317830,User117,2024-06-24,TRANSFER,990.67,COMPLETED
362,516636082,User53,2024-02-17,TRANSFER,776.06,FAILED
363,507657707,User395,2024-12-28,DEPOSIT,2577.28,FAILED
364,877776861,User234,2024-04-22,TRANSFER,936.68,FAILED
365,293427726,User148,2024-12-27,WITHDRAWAL,2197.71,PENDING
366,990446724,User14,2024-09-28,DEPOSIT,173.28,COMPLETED
367,895053358,User367,2024-08-11,WITHDRAWAL,4323.63,COMPLETED
368,731420173,User370,2024-06-19,TRANSFER,2559.7,PENDING
369,205088970,User330,2024-11-24,WITHDRAWAL,3675.9,PENDING
370,699032177,User194,2024-01-20,WITHDRAWAL,1828.36,FAILED
371,355464404,User299,2024-08-02,DEPOSIT,615.25,COMPLETED
372,847428221,User172,2024-05-18,DEPOSIT,700.08,FAILED
373,811057298,User409,2024-09-18,WITHDRAWAL,3069.31,COMPLETED
374,444423274,User349,2024-09-17,DEPOSIT,1917.55,PENDING
375,467217470,User178,2024-07-22,WITHDRAWAL,2321.71,COMPLETED
376,189274400,User217,2024-08-09,TRANSFER,1495.54,COMPLETED
377,210534888,User243,2024-04-27,TRANSFER,2544.9,PENDING
378,971566341,User79,2024-08-03,TRANSFER,3224.61,PENDING
379,414162504,User298,2024-10-08,TRANSFER,3541.01,FAILED
380,861651667,User114,2024-06-27,TRANSFER,1815.39,PENDING
381,363017801,User419,2024-12-02,TRANSFER,4908.73,PENDING
382,387087103,User120,2024-12-14,WITHDRAWAL,4904.51,PENDING
383,268281379,User157,2024-10-16,WITHDRAWAL,2500.72,PENDING
384,125726170,User36,2024-05-06,WITHDRAWAL,3355.87,PENDING
385,536527564,User18,2024-10-10,WITHDRAWAL,1316.2,FAILED
386,415325441,User16,2024-01-22,TRANSFER,203.63,PENDING
387,814320378,User375,2024-01-20,WITHDRAWAL,2792.87,COMPLETED
388,304988356,User3,2024-06-23,TRANSFER,4495.71,PENDING
389,684024013,User210,2024-03-11,DEPOSIT,711.9,COMPLETED
390,624717292,User155,2024-12-21,DEPOSIT,4433.39,FAILED
391,123196067,User385,2024-02-21,TRANSFER,272.73,FAILED
392,395033662,User110,2024-11-03,TRANSFER,1832.34,PENDING
393,951046737,User264,2024-11-06,WITHDRAWAL,889.94,FAILED
394,890668533,User319,2024-07-24,WITHDRAWAL,975.37,FAILED
395,235541711,User73,2024-11-23,WITHDRAWAL,4448.28,PENDING
396,163911154,User461,2024-10-01,DEPOSIT,3737.92,FAILED
397,835887210,User61,2024-10-25,TRANSFER,3468.73,PENDING
398,527162369,User227,2024-10-12,DEPOSIT,4369.39,COMPLETED
